"DateTime","Final price"
"2022-05-25 18:25:01",1049.95
"2022-06-23 17:23:37",524.97
"2022-06-23 17:33:33",524.97
"2022-07-07 17:21:32",1049.95
"2022-08-01 17:21:29",524.97
"2022-08-08 17:21:27",1049.95
"2022-10-25 18:14:45",703.46
"2022-11-02 17:01:26",1049.95
"2022-11-22 18:14:56",703.46
"2022-11-29 18:27:24",1049.95
"2022-12-22 18:29:10",703.46
"2022-12-22 18:33:55",703.46
"2023-01-05 18:30:16",1049.95
"2023-03-16 17:27:53",703.46
"2023-03-23 17:21:29",1049.95
"2023-05-16 17:01:20",703.46
"2023-05-23 17:01:21",1049.95
"2023-06-29 17:25:20",703.46
"2023-07-13 17:21:31",1049.95
"2023-11-21 18:08:36",703.46
"2023-11-28 18:26:34",1049.95
"2023-12-14 18:01:24",524.97
"2023-12-21 18:36:04",703.46
"2024-01-04 18:37:38",1049.95
"2024-03-14 17:15:09",703.46
"2024-03-17 08:02:14",703.46
